,var,med
4696,Zm00001d025385,Zm00001d025385
4697,Zm00001d025981,Zm00001d025981
4698,Zm00001d025864,Zm00001d025864
4699,Zm00001d024224,Zm00001d024224
4700,Zm00001d023289,Zm00001d023289
4701,Zm00001d023234,Zm00001d023234
4702,Zm00001d024905,Zm00001d024905
4703,Zm00001d025804,Zm00001d025804
4704,Zm00001d023620,Zm00001d023620
4705,Zm00001d024937,Zm00001d024937
4706,Zm00001d024238,Zm00001d024238
4707,Zm00001d024509,Zm00001d024509
4708,Zm00001d024212,Zm00001d024212
4709,Zm00001d024244,Zm00001d024244
4710,Zm00001d024949,Zm00001d024949
4711,Zm00001d026175,Zm00001d026175
4712,Zm00001d023554,Zm00001d023554
4713,Zm00001d024849,Zm00001d024849
4714,Zm00001d024543,Zm00001d024543
4715,Zm00001d025041,Zm00001d025041
4716,Zm00001d026262,Zm00001d026262
4717,Zm00001d023296,Zm00001d023296
4718,Zm00001d025769,Zm00001d025769
4719,Zm00001d023732,Zm00001d023732
4720,Zm00001d025489,Zm00001d025489
4721,Zm00001d026454,Zm00001d026454
4722,Zm00001d023295,Zm00001d023295
4723,Zm00001d025776,Zm00001d025776
4724,Zm00001d024539,Zm00001d024539
4725,Zm00001d025599,Zm00001d025599
4726,Zm00001d026613,Zm00001d026613
4727,Zm00001d024605,Zm00001d024605
4728,Zm00001d024035,Zm00001d024035
4729,Zm00001d025314,Zm00001d025314
4730,Zm00001d025617,Zm00001d025617
4731,Zm00001d024810,Zm00001d024810
4732,Zm00001d023427,Zm00001d023427
4733,Zm00001d026679,Zm00001d026679
4734,Zm00001d024868,Zm00001d024868
4735,Zm00001d024657,Zm00001d024657
4736,Zm00001d024079,Zm00001d024079
4737,Zm00001d025262,Zm00001d025262
4738,Zm00001d026661,Zm00001d026661
4739,Zm00001d025558,Zm00001d025558
4740,Zm00001d024809,Zm00001d024809
4741,Zm00001d025472,Zm00001d025472
4742,Zm00001d023469,Zm00001d023469
4743,Zm00001d024828,Zm00001d024828
4744,Zm00001d024610,Zm00001d024610
4745,Zm00001d023382,Zm00001d023382
4746,Zm00001d023874,Zm00001d023874
4747,Zm00001d026339,Zm00001d026339
4748,Zm00001d023776,Zm00001d023776
4749,Zm00001d023594,Zm00001d023594
4750,Zm00001d025363,Zm00001d025363
4751,Zm00001d025136,Zm00001d025136
4752,Zm00001d026079,Zm00001d026079
4753,Zm00001d025727,Zm00001d025727
4754,Zm00001d026273,Zm00001d026273
4755,Zm00001d025318,Zm00001d025318
4756,Zm00001d024563,Zm00001d024563
4757,Zm00001d026241,Zm00001d026241
4758,Zm00001d025412,Zm00001d025412
4759,Zm00001d025436,Zm00001d025436
4760,Zm00001d025837,Zm00001d025837
4761,Zm00001d023284,Zm00001d023284
4762,Zm00001d023881,Zm00001d023881
4763,Zm00001d024004,Zm00001d024004
4764,Zm00001d024592,Zm00001d024592
4765,Zm00001d024153,Zm00001d024153
4766,Zm00001d025872,Zm00001d025872
4767,Zm00001d023734,Zm00001d023734
4768,Zm00001d026318,Zm00001d026318
4769,Zm00001d026450,Zm00001d026450
4770,Zm00001d025853,Zm00001d025853
4771,Zm00001d026507,Zm00001d026507
4772,Zm00001d024770,Zm00001d024770
4773,Zm00001d025709,Zm00001d025709
4774,Zm00001d025798,Zm00001d025798
4775,Zm00001d024956,Zm00001d024956
4776,Zm00001d024494,Zm00001d024494
4777,Zm00001d026470,Zm00001d026470
4778,Zm00001d024933,Zm00001d024933
4779,Zm00001d025217,Zm00001d025217
4780,Zm00001d025275,Zm00001d025275
4781,Zm00001d026169,Zm00001d026169
4782,Zm00001d025461,Zm00001d025461
4783,Zm00001d025144,Zm00001d025144
4784,Zm00001d025670,Zm00001d025670
4785,Zm00001d024459,Zm00001d024459
4786,Zm00001d023378,Zm00001d023378
4787,Zm00001d026153,Zm00001d026153
4788,Zm00001d024066,Zm00001d024066
4789,Zm00001d024893,Zm00001d024893
4790,Zm00001d024478,Zm00001d024478
4791,Zm00001d024088,Zm00001d024088
4792,Zm00001d026193,Zm00001d026193
4793,Zm00001d023854,Zm00001d023854
4794,Zm00001d024679,Zm00001d024679
4795,Zm00001d024586,Zm00001d024586
4796,Zm00001d023563,Zm00001d023563
4797,Zm00001d024515,Zm00001d024515
4798,Zm00001d024251,Zm00001d024251
4799,Zm00001d026638,Zm00001d026638
4800,Zm00001d023323,Zm00001d023323
4801,Zm00001d024594,Zm00001d024594
4802,Zm00001d026046,Zm00001d026046
4803,Zm00001d025345,Zm00001d025345
4804,Zm00001d025497,Zm00001d025497
4805,Zm00001d024028,Zm00001d024028
4806,Zm00001d024778,Zm00001d024778
4807,Zm00001d024388,Zm00001d024388
4808,Zm00001d024530,Zm00001d024530
4809,Zm00001d023241,Zm00001d023241
4810,Zm00001d023990,Zm00001d023990
4811,Zm00001d023257,Zm00001d023257
